D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
56231|2015|Toyota|Camry|car|Black|98750|10500.0
77890|2018|Nissan|Altima|car|White|76500|12500.0
88321|2020|Tesla|Model 3|car|Blue|45000|28999.0
91234|2017|Chevrolet|Silverado|truck|Silver|110000|18500.0
33445|2010|BMW|X5|SUV|Black|130000|9800.0
66778|2019|Kia|Sportage|SUV|Red|60000|16500.0
44556|2016|Hyundai|Elantra|car|Gray|82000|8900.0
